"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.488382021656100e-03, 4.706597967896906e-03, 1.258739576096646e+00, 1.384891510114016e+02, 2.546989819195804e+02, 2.825101905256488e+05, 9.964931753978512e+04, 2.757838225677324e+02, 6.918339055186671e-01, -4.445514332363729e-02
1, 4.832710320602642e-03, 8.816269339904866e-03, 1.063439325179902e+00, 2.145298106748174e+02, 2.079818839172835e+02, 2.426115025730330e+05, 8.025389156568040e+04, 2.628958496733003e+02, 8.644153242051220e-01, -5.590075492676925e-01
2, 9.332381480387024e-03, 1.227942046624692e-02, 9.494534991724228e-01, 2.463870926711611e+02, 1.631096432443637e+02, 2.190361832236156e+05, 6.922255515330695e+04, 2.539827796407184e+02, 9.741160160784313e-01, -8.516642147796255e-01
3, 1.459946849275805e-02, 1.527381396591203e-02, 8.936409474745441e-01, 2.620918365719043e+02, 1.336935096191410e+02, 2.076339782817106e+05, 6.367979570572253e+04, 2.482383903004078e+02, 1.042383457164889e+00, -9.987112666531720e-01
4, 2.046479713132301e-02, 1.796063353676528e-02, 8.694926795652619e-01, 2.713720006584662e+02, 1.145650114757714e+02, 2.028146602699778e+05, 6.116758116092699e+04, 2.450675010229389e+02, 1.079498190100827e+00, -1.065359250564330e+00
5, 2.685868270277166e-02, 2.045327339789000e-02, 8.610350175264476e-01, 2.774366948654788e+02, 1.013642320099974e+02, 2.011998510781394e+05, 6.021460268936129e+04, 2.436191122223662e+02, 1.096344380292030e+00, -1.090641364296285e+00
6, 3.375781461496627e-02, 2.282049748183516e-02, 8.594425056011877e-01, 2.816842784278249e+02, 9.158062023775511e+01, 2.009623052601049e+05, 5.996865408267703e+04, 2.430736140738127e+02, 1.102673690762020e+00, -1.097166276276921e+00
7, 4.115893005207923e-02, 2.510489825420425e-02, 8.596588256502853e-01, 2.850955096930234e+02, 8.399160168289066e+01, 2.011054198262552e+05, 5.989121535148043e+04, 2.426986414309161e+02, 1.107019828377274e+00, -1.099220692895750e+00
8, 4.906831578654961e-02, 2.733298459233075e-02, 8.574022360465819e-01, 2.875793376038753e+02, 7.700877056840422e+01, 2.007043714075982e+05, 5.960715210529792e+04, 2.421832518315307e+02, 1.112987581737786e+00, -1.106756770059440e+00
9, 5.750637327689671e-02, 2.948341214923270e-02, 8.548759005172917e-01, 2.892750352448437e+02, 7.052083231279033e+01, 2.002036604435002e+05, 5.934085521828695e+04, 2.418137945930301e+02, 1.117261505034316e+00, -1.113821513266928e+00
10, 6.648155001962376e-02, 3.157821290851928e-02, 8.563691660976135e-01, 2.909167861816373e+02, 6.553465409816535e+01, 2.005473885075015e+05, 5.945048991159305e+04, 2.418381217368791e+02, 1.116980187919129e+00, -1.110912951460093e+00
11, 7.600203847491609e-02, 3.365063877659168e-02, 8.591698978828278e-01, 2.927013330292087e+02, 6.155101612345190e+01, 2.011953935908347e+05, 5.965280073718520e+04, 2.418700707450958e+02, 1.116610710509276e+00, -1.105545731261064e+00
12, 8.608375560388261e-02, 3.570120169173398e-02, 8.589250819346622e-01, 2.940404238986509e+02, 5.741105343645145e+01, 2.011953080864642e+05, 5.957855892310616e+04, 2.416379010648518e+02, 1.119295102326601e+00, -1.107515335027799e+00
13, 9.674657926163116e-02, 3.770156582142695e-02, 8.568889953220689e-01, 2.948282378404381e+02, 5.309343104357740e+01, 2.007870323731666e+05, 5.936866876069608e+04, 2.413587737221136e+02, 1.122520738617494e+00, -1.113083631810571e+00
14, 1.080030196430421e-01, 3.964875538520368e-02, 8.570484506399013e-01, 2.956491400487203e+02, 4.950146803020935e+01, 2.008381983247603e+05, 5.936591423004260e+04, 2.413026722630708e+02, 1.123168836094730e+00, -1.113156708337835e+00
15, 1.198592595002916e-01, 4.157205777763585e-02, 8.585593444551005e-01, 2.966851841614006e+02, 4.655390586092166e+01, 2.011944948820173e+05, 5.946833244893264e+04, 2.412935908726257e+02, 1.123273739695200e+00, -1.110439596529477e+00
16, 1.323260049401440e-01, 4.346605901951094e-02, 8.581923505786613e-01, 2.975881290632727e+02, 4.354136167948926e+01, 2.011654684177522e+05, 5.938593777613410e+04, 2.410623161758789e+02, 1.125944669490559e+00, -1.112625492172195e+00
17, 1.454133337709611e-01, 4.531126179622485e-02, 8.554316159232073e-01, 2.979941746593152e+02, 4.016100865477548e+01, 2.006085028463380e+05, 5.910473077282078e+04, 2.406951234338026e+02, 1.130182805898721e+00, -1.120085794426777e+00
18, 1.591290650924811e-01, 4.707811240520520e-02, 8.534733462556927e-01, 2.983373074271462e+02, 3.706066646037601e+01, 2.002126518318736e+05, 5.890604151724126e+04, 2.404364027356770e+02, 1.133167178478372e+00, -1.125356935912928e+00
19, 1.734703417978991e-01, 4.879669121496576e-02, 8.531209164898498e-01, 2.988638344878292e+02, 3.447606728410587e+01, 2.001641663639293e+05, 5.884752758526090e+04, 2.402967939715341e+02, 1.134776983320934e+00, -1.126909285653632e+00
20, 1.884364181207424e-01, 5.045955868304197e-02, 8.522987533975045e-01, 2.993794637519993e+02, 3.196440729444104e+01, 2.000242249205635e+05, 5.873785628578391e+04, 2.400803327856889e+02, 1.137272145903651e+00, -1.129818818606620e+00
21, 2.040227938765091e-01, 5.205935230308094e-02, 8.499976501830089e-01, 2.997037464021774e+02, 2.929986058972395e+01, 1.995715549302043e+05, 5.849190006030844e+04, 2.397222523222897e+02, 1.141397634519711e+00, -1.136343932710548e+00
22, 2.202228765534745e-01, 5.356753842022878e-02, 8.468405158753254e-01, 2.997931391930092e+02, 2.652540541201684e+01, 1.989266277051453e+05, 5.817830583134829e+04, 2.393259478316531e+02, 1.145960501207542e+00, -1.144663454293474e+00
23, 2.370232121239444e-01, 5.497928051590684e-02, 8.445327927328771e-01, 2.999407946041531e+02, 2.401743860139851e+01, 1.984614646124348e+05, 5.794283286537572e+04, 2.390086132111786e+02, 1.149611941523059e+00, -1.150910451979307e+00
24, 2.544051357073449e-01, 5.630481230556028e-02, 8.428461470667727e-01, 3.001352899691764e+02, 2.171700535015423e+01, 1.981282956302556e+05, 5.776392795640064e+04, 2.387474584783051e+02, 1.152615516357500e+00, -1.155656723160524e+00
25, 2.723473351277398e-01, 5.753544001630031e-02, 8.409951719962674e-01, 3.002632397534099e+02, 1.944351391405089e+01, 1.977578257258975e+05, 5.757243275599994e+04, 2.384797039615969e+02, 1.155693694382997e+00, -1.160737009421031e+00
26, 2.908238586372769e-01, 5.866320922821767e-02, 8.387598710940904e-01, 3.004215353359809e+02, 1.720267893256328e+01, 1.973162709063102e+05, 5.733533926236875e+04, 2.381305349904647e+02, 1.159705910032695e+00, -1.167026999016748e+00
27, 3.098041426674255e-01, 5.968060820588356e-02, 8.353103037657827e-01, 3.003891792664628e+02, 1.479609590639974e+01, 1.966153898410863e+05, 5.698891477308043e+04, 2.376691941335783e+02, 1.165003840935116e+00, -1.176217493449777e+00
28, 3.292541116634058e-01, 6.055639621456834e-02, 8.312162267061716e-01, 3.001721155728454e+02, 1.229288041912977e+01, 1.957696805456314e+05, 5.659164219850802e+04, 2.371748470461409e+02, 1.170676909927998e+00, -1.186756965969470e+00
