"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 4.599959785199808e-03, 8.575305902786752e-03, 1.159523087659594e+00, 1.678307167939850e+02, 1.846623508048501e+02, 2.591265087571272e+05, 9.291044076404106e+04, 2.791357521763198e+02, 6.425311026237426e-01, -2.232346794343247e-01
1, 1.346557525023180e-02, 1.463928081233913e-02, 9.578237053956390e-01, 2.178485746351225e+02, 1.220129581406555e+02, 2.170129327879214e+05, 7.378708574197379e+04, 2.683645348504995e+02, 7.937877571507055e-01, -7.305691586803397e-01
2, 2.404880125726715e-02, 1.939217631266246e-02, 8.936904635695626e-01, 2.351031370264540e+02, 9.291917147337961e+01, 2.040219793272465e+05, 6.730686951686470e+04, 2.623630151905016e+02, 8.711410804858065e-01, -9.024865403413270e-01
3, 3.583427244987791e-02, 2.349548734189306e-02, 8.716851764708833e-01, 2.450549183410484e+02, 7.781770049324162e+01, 1.998683451659315e+05, 6.477958959533914e+04, 2.588861857422007e+02, 9.144552282086331e-01, -9.695342022927218e-01
4, 4.869120115523033e-02, 2.723687743778391e-02, 8.630068430043624e-01, 2.511280843705196e+02, 6.751404941011916e+01, 1.983462451191306e+05, 6.366690467025949e+04, 2.569980582204814e+02, 9.376066818243741e-01, -9.990532603439252e-01
5, 6.260621121838102e-02, 3.069082855872658e-02, 8.588493583985535e-01, 2.548320256256238e+02, 5.963109862486198e+01, 1.976438435601342e+05, 6.310707334374379e+04, 2.559713680382949e+02, 9.500984862418398e-01, -1.013905347447663e+00
6, 7.756702172055871e-02, 3.397438731000361e-02, 8.578833544519472e-01, 2.575951845723097e+02, 5.352899191784569e+01, 1.975679805240646e+05, 6.288965282705923e+04, 2.553767180125814e+02, 9.573043740382883e-01, -1.019673421328124e+00
7, 9.358887141213654e-02, 3.710917437644710e-02, 8.554635646607280e-01, 2.595339018844581e+02, 4.809805315819239e+01, 1.971510819564426e+05, 6.257189126588227e+04, 2.548050964042037e+02, 9.642118019065175e-01, -1.028103500463196e+00
8, 1.106859474118353e-01, 4.010612713676827e-02, 8.515338693127821e-01, 2.611523805081247e+02, 4.327710217759349e+01, 1.964200533955495e+05, 6.210984489731121e+04, 2.540907549117533e+02, 9.728180480538275e-01, -1.040361394201822e+00
9, 1.288684382686764e-01, 4.296932637943288e-02, 8.472647213015740e-01, 2.626528268030749e+02, 3.886727617506958e+01, 1.956249175550104e+05, 6.160884629255443e+04, 2.533111449809564e+02, 9.821791983770113e-01, -1.053652674207551e+00
10, 1.481436936127188e-01, 4.567388353145591e-02, 8.434538070934842e-01, 2.639922250664901e+02, 3.485613917578242e+01, 1.949215730222398e+05, 6.115517843365054e+04, 2.525819315783384e+02, 9.909067661038199e-01, -1.065688289646477e+00
11, 1.685061886990826e-01, 4.822365772034939e-02, 8.401429453542870e-01, 2.651441537389680e+02, 3.130282044062942e+01, 1.943145751898318e+05, 6.075698228076787e+04, 2.519262111933247e+02, 9.987322272549377e-01, -1.076252264306121e+00
12, 1.899422230512673e-01, 5.061607771520642e-02, 8.370378480719619e-01, 2.661758843444297e+02, 2.802446504587643e+01, 1.937465276889211e+05, 6.038230690541621e+04, 2.513014246959835e+02, 1.006169460865352e+00, -1.086192242736736e+00
13, 2.124285102735112e-01, 5.284190292503957e-02, 8.341406850959392e-01, 2.670631731949364e+02, 2.488993358063069e+01, 1.932133352270018e+05, 6.003590637290386e+04, 2.507275821133579e+02, 1.012984485849454e+00, -1.095382101606683e+00
14, 2.359306947768734e-01, 5.488880823439238e-02, 8.312743004168808e-01, 2.678063269767816e+02, 2.184292250419723e+01, 1.926780530817730e+05, 5.970093996788180e+04, 2.501883944920490e+02, 1.019374640457192e+00, -1.104268617935051e+00
15, 2.604025946772607e-01, 5.674184907590585e-02, 8.280364091684145e-01, 2.684802122764915e+02, 1.887600219746456e+01, 1.920659056627158e+05, 5.933004760043600e+04, 2.496063379886432e+02, 1.026258875989860e+00, -1.114108234774110e+00
16, 2.857856090548991e-01, 5.838636721570255e-02, 8.236692196709363e-01, 2.688988235223802e+02, 1.583624519021873e+01, 1.912058114850079e+05, 5.886424145562092e+04, 2.489597048435473e+02, 1.033890478825874e+00, -1.126465873778179e+00
17, 3.120100672970315e-01, 5.977993599088263e-02, 8.190541663677192e-01, 2.692201294414225e+02, 1.283488259112383e+01, 1.902910436732830e+05, 5.837785626285685e+04, 2.482937938183200e+02, 1.041732247654079e+00, -1.139369466176018e+00
18, 3.389912666704395e-01, 6.092709673446156e-02, 8.148218293856558e-01, 2.695562970538331e+02, 9.998633569066769e+00, 1.894594288432397e+05, 5.792451265870607e+04, 2.476452934249558e+02, 1.049352753262129e+00, -1.151396479274188e+00
19, 3.666343305129297e-01, 6.181366439228071e-02, 8.107503888474634e-01, 2.698660585357649e+02, 7.200278577786632e+00, 1.886615167000422e+05, 5.748631531839821e+04, 2.470060850719981e+02, 1.056849035035347e+00, -1.163021668431401e+00
20, 3.948338763801397e-01, 6.242545951000543e-02, 8.066783744398516e-01, 2.700500890707593e+02, 4.415850664926715e+00, 1.878551481342854e+05, 5.705640017183451e+04, 2.463963660084248e+02, 1.063986139870518e+00, -1.174427134509408e+00
21, 4.234752606295052e-01, 6.275064336462377e-02, 8.029375070524273e-01, 2.704453000604100e+02, 1.540427303145533e+00, 1.871390451622742e+05, 5.663675729464909e+04, 2.457236626686281e+02, 1.071846027622307e+00, -1.185560081647632e+00
22, 4.524361906849232e-01, 6.275959237887145e-02, 7.974324434995657e-01, 2.707837721071419e+02, -1.629367585196139e+00, 1.860679201649804e+05, 5.603651775497550e+04, 2.447978412755151e+02, 1.082639723636873e+00, -1.201484181468598e+00
23, 4.815877614088194e-01, 6.240498970955334e-02, 7.890573729770660e-01, 2.720284152154715e+02, -5.011334674680087e+00, 1.845175077059287e+05, 5.504421733446766e+04, 2.430152142669663e+02, 1.103351255571817e+00, -1.227809489789916e+00
24, 5.107971910835829e-01, 6.168792952271229e-02, 7.739433632828311e-01, 2.723279688461859e+02, -8.482751408214121e+00, 1.815403404794215e+05, 5.343269636680187e+04, 2.405072958537740e+02, 1.132349991454586e+00, -1.270562455991783e+00
25, 5.399299031975597e-01, 6.058721113832836e-02, 7.728343742744409e-01, 2.739604858110238e+02, -1.218731723453389e+01, 1.814985136823946e+05, 5.313782845452102e+04, 2.395232728632584e+02, 1.143689404678811e+00, -1.278385176353913e+00
26, 5.688521089390920e-01, 5.909495442770426e-02, 8.173396435571074e-01, 2.701505691884977e+02, -1.567472991663631e+01, 1.900476756370116e+05, 5.810068644262569e+04, 2.476332997332538e+02, 1.049493540897025e+00, -1.146722663679669e+00
27, 5.974342202289831e-01, 5.722545404001012e-02, 9.784664930246770e-01, 2.630834791363930e+02, -1.905391448141716e+01, 2.223490731747458e+05, 7.471819825563885e+04, 2.660178493455055e+02, 8.244786962897838e-01, -7.058671395160975e-01
28, 6.255514424793363e-01, 5.498579904397533e-02, 1.110166834014673e+00, 2.642848978881673e+02, -2.248667339711051e+01, 2.498045043824857e+05, 8.724764223449842e+04, 2.737762660914859e+02, 7.202839192912011e-01, -3.734663171226600e-01
29, 6.530954687370487e-01, 5.248494045018172e-02, 1.118957901807331e+00, 2.634471865844229e+02, -2.520707299487198e+01, 2.515999403649696e+05, 8.812121801664465e+04, 2.743450250566732e+02, 7.122974063513902e-01, -3.502907229862929e-01
30, 6.799648736609805e-01, 4.977646270200242e-02, 1.105633570720007e+00, 2.616007804417498e+02, -2.753309910314490e+01, 2.487087686894054e+05, 8.696705687108368e+04, 2.740147249163123e+02, 7.169422801437570e-01, -3.809101275349964e-01
31, 7.060686964870482e-01, 4.690383895275341e-02, 1.108740663704428e+00, 2.585430556732555e+02, -2.954027297085993e+01, 2.491673566760425e+05, 8.745179776217371e+04, 2.747698718946047e+02, 7.062946638784035e-01, -3.680501577615636e-01
32, 7.313276239001285e-01, 4.390575170697350e-02, 1.122219852792691e+00, 2.544733979535335e+02, -3.122020673500273e+01, 2.517328834054890e+05, 8.897861963495518e+04, 2.762091503781869e+02, 6.857102728802194e-01, -3.275442225407221e-01
33, 7.556746380214961e-01, 4.081735584569787e-02, 1.135138608077671e+00, 2.502568429979933e+02, -3.270373319864948e+01, 2.541833225500119e+05, 9.045037859277509e+04, 2.775823443060227e+02, 6.656858294042854e-01, -2.884990830461301e-01
34, 7.790548638353583e-01, 3.766789635414582e-02, 1.146198104672112e+00, 2.458226658878750e+02, -3.398116115089928e+01, 2.562407990288307e+05, 9.175062004592319e+04, 2.788557905361905e+02, 6.467461133245539e-01, -2.540042300370338e-01
35, 8.014269857680462e-01, 3.449173941349981e-02, 1.157726397665903e+00, 2.412068397600885e+02, -3.498014409892529e+01, 2.583955065798555e+05, 9.309595929914854e+04, 2.801271745491834e+02, 6.274465312508011e-01, -2.183129515633196e-01
36, 8.227631640765118e-01, 3.132858431963988e-02, 1.169738439099462e+00, 2.364522326772424e+02, -3.571548142960306e+01, 2.606541599585659e+05, 9.448422108844448e+04, 2.813849536135294e+02, 6.079305731227711e-01, -1.814829564543620e-01
37, 8.430457826340153e-01, 2.820510037713488e-02, 1.181427278103407e+00, 2.315848564984773e+02, -3.625248554926656e+01, 2.628491178487155e+05, 9.583805245206255e+04, 2.825929551144078e+02, 5.887497018001295e-01, -1.455663859019922e-01
38, 8.622678773010641e-01, 2.514452064214309e-02, 1.192751812522536e+00, 2.265919762173968e+02, -3.662600465526573e+01, 2.649711521897212e+05, 9.715420259181358e+04, 2.837539080885099e+02, 5.698692651702352e-01, -1.106494822002287e-01
39, 8.804314749417357e-01, 2.216241236229434e-02, 1.203828571961950e+00, 2.213954457223721e+02, -3.686009297265525e+01, 2.670409860457635e+05, 9.844732742424625e+04, 2.848850303438376e+02, 5.510075391993566e-01, -7.634343011338102e-02
40, 8.975472248122743e-01, 1.927130952765204e-02, 1.214898756708076e+00, 2.159795731843220e+02, -3.696879735926311e+01, 2.691096085032891e+05, 9.973966739554344e+04, 2.859948240523563e+02, 5.320045267622211e-01, -4.205820005880707e-02
41, 9.136331298443012e-01, 1.647994598217456e-02, 1.225918987685527e+00, 2.102375790450041e+02, -3.693982721055335e+01, 2.711632711412428e+05, 1.010318008699847e+05, 2.870956867947338e+02, 5.126120744839185e-01, -7.778448278038219e-03
42, 9.287138525356933e-01, 1.379580673747695e-02, 1.237229854559302e+00, 2.040728218216009e+02, -3.681084759420111e+01, 2.732716005875651e+05, 1.023575058199660e+05, 2.882037643338838e+02, 4.924804333018202e-01, 2.739194047730936e-02
43, 9.428179837199131e-01, 1.121631896314107e-02, 1.248650251291397e+00, 1.971890469254172e+02, -3.647923928073888e+01, 2.753840218458879e+05, 1.037123726781750e+05, 2.893477478330993e+02, 4.709668149580715e-01, 6.333598226098013e-02
44, 9.559811797527291e-01, 8.752048766852981e-03, 1.261507480074055e+00, 1.898329309070849e+02, -3.594208667735384e+01, 2.777985502511112e+05, 1.052013616123085e+05, 2.905105283375911e+02, 4.482289781338266e-01, 1.028382257025722e-01
45, 9.682410972550354e-01, 6.404158852542412e-03, 1.274284302202268e+00, 1.811228866777412e+02, -3.509899427657334e+01, 2.801580159815110e+05, 1.067210014515437e+05, 2.917520418258979e+02, 4.228207679819233e-01, 1.431536246265716e-01
46, 9.796369485409142e-01, 4.167645945606967e-03, 1.291281413937978e+00, 1.685658602498842e+02, -3.351698809359534e+01, 2.832959923885285e+05, 1.087434317442930e+05, 2.933678240754016e+02, 3.876264154377967e-01, 1.968078405421019e-01
47, 9.902099327751225e-01, 2.038144568038185e-03, 1.296419317354953e+00, 1.392152969277303e+02, -2.852135088817625e+01, 2.833676633965736e+05, 1.102316587791649e+05, 2.962041878474365e+02, 3.177058263287762e-01, 2.362898711201715e-01
48, 0.000000000000000e+00, 0.000000000000000e+00, 1.575077254415886e+00, 2.103435227386641e+00, 2.234475397302239e+02, 3.461011914596754e+05, 1.321000602885738e+05, 2.921672287290129e+02, 4.140267134303111e-01, 8.164492667343922e-01
49, 1.000000000000000e+00, 0.000000000000000e+00, 1.299543996086822e+00, 1.143952135217010e+02, -7.780972935487142e+00, 2.832652201755601e+05, 1.112827924440527e+05, 2.983096984841487e+02, 2.548218405188898e-01, 2.641760004044130e-01
50, 9.900132357879567e-01, 5.126793109677517e-04, 1.409279661989584e+00, 2.572995113091719e+02, -1.214175113194321e+01, 3.123432478973804e+05, 1.155210757605648e+05, 2.855580353598192e+02, 5.395463374940249e-01, 3.766158550637286e-01
51, 9.792361030228369e-01, 9.097207068541404e-04, 1.407823282358378e+00, 2.663998508072251e+02, -7.677523629738132e+00, 3.125090045009853e+05, 1.149131556813029e+05, 2.843491623676464e+02, 5.600042108234266e-01, 3.604879937925420e-01
52, 9.676271667319816e-01, 1.147607260733904e-03, 1.410762092536448e+00, 2.637102211983679e+02, -3.205830865298977e+00, 3.129819947098128e+05, 1.153324027848511e+05, 2.847920775408311e+02, 5.525765784051838e-01, 3.716104412244171e-01
53, 9.551474944233156e-01, 1.201754893549495e-03, 1.410995677732258e+00, 2.620588835736411e+02, 1.034504030781313e+00, 3.129426469768697e+05, 1.154426662986562e+05, 2.850171615673220e+02, 5.487723692429470e-01, 3.745356853717770e-01
54, 9.417605688139745e-01, 1.044884111427570e-03, 1.411890684735093e+00, 2.622154000221691e+02, 5.357085969489676e+00, 3.131434269694236e+05, 1.155136115686516e+05, 2.850115334837739e+02, 5.488677010803853e-01, 3.764178332253585e-01
55, 9.274336266797355e-01, 6.354951273530322e-04, 1.410237878338277e+00, 2.625417038401140e+02, 9.573323145561154e+00, 3.128168752446824e+05, 1.153383596665157e+05, 2.849126554552008e+02, 5.505410932348166e-01, 3.717684747626631e-01
56, 9.121373374650401e-01, -3.572737520094729e-05, 1.408041572840644e+00, 2.634896171989754e+02, 1.345944560137368e+01, 3.124111579435451e+05, 1.150772643346837e+05, 2.847110983467991e+02, 5.539401623637348e-01, 3.648417266028507e-01
57, 8.958465753982476e-01, -9.782611566950278e-04, 1.404750873837029e+00, 2.646457704212938e+02, 1.709805086683873e+01, 3.117874790929140e+05, 1.147018671102206e+05, 2.844471074401316e+02, 5.583680363810558e-01, 3.548825978221707e-01
58, 8.785418565182572e-01, -2.206536682694856e-03, 1.400768500995224e+00, 2.660979120714959e+02, 2.054397210495148e+01, 3.110360202021480e+05, 1.142442545475593e+05, 2.841177366258470e+02, 5.638551544491947e-01, 3.427423310694874e-01
59, 8.602099512969447e-01, -3.729849868465238e-03, 1.395964085901970e+00, 2.677725557799328e+02, 2.377433641820842e+01, 3.101252740154988e+05, 1.136963531692136e+05, 2.837282862284467e+02, 5.702912248600893e-01, 3.282067404191821e-01
60, 8.408449417467896e-01, -5.553775684205399e-03, 1.390483708470374e+00, 2.696758261903936e+02, 2.679390220026965e+01, 3.090867224228131e+05, 1.130710320231001e+05, 2.832799235513682e+02, 5.776336044335323e-01, 3.116172362417556e-01
