"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.868553667329603e-04, 9.823874347339191e-04, 1.437258585689751e+00, 4.438095123936289e+01, 2.411535062098640e+02, 3.176609529879214e+05, 1.186978029066322e+05, 2.876988420403465e+02, 5.017340598822613e-01, 4.608930757970674e-01
1, 3.782626581306679e-04, 1.988706499972698e-03, 1.423321068165747e+00, 5.149728183247696e+01, 2.651444666335848e+02, 3.159845935944436e+05, 1.161426636366957e+05, 2.842622893828997e+02, 5.614510413672522e-01, 3.931063171755599e-01
2, 5.743232313122557e-04, 3.019490078244666e-03, 1.319052188675248e+00, 9.446631981619660e+01, 2.861525676997165e+02, 2.958851882963719e+05, 1.045855256947531e+05, 2.762103512437442e+02, 6.856923268242974e-01, 8.650036060654685e-02
3, 1.063869007526800e-03, 3.968283805449433e-03, 1.235530885089926e+00, 1.430565634641152e+02, 2.663476711964818e+02, 2.785067926813668e+05, 9.660644392308209e+04, 2.723847789477843e+02, 7.395952382166533e-01, -1.251812868251339e-01
4, 1.612536621108283e-03, 4.922527977243144e-03, 1.232865409378799e+00, 1.551480725760611e+02, 2.677483448014431e+02, 2.784561027170459e+05, 9.584788235242582e+04, 2.708302681181207e+02, 7.608152059759260e-01, -1.453056028241230e-01
5, 2.174456837156933e-03, 5.899821110470612e-03, 1.164338203378274e+00, 1.797109782877222e+02, 2.698979735248740e+02, 2.653992838967681e+05, 8.809950536062488e+04, 2.635874131333487e+02, 8.556489575541666e-01, -3.508667505202755e-01
6, 2.884563726317298e-03, 6.799379889762583e-03, 1.076935039645920e+00, 2.092571362790671e+02, 2.426751205906512e+02, 2.471654622230998e+05, 7.979729782411800e+04, 2.581243781846065e+02, 9.238246903430020e-01, -5.711207871297332e-01
7, 3.705922384474308e-03, 7.649721243580260e-03, 1.068312182711626e+00, 2.231754896921624e+02, 2.265054309073115e+02, 2.451957989201097e+05, 7.914901948776259e+04, 2.580938781504377e+02, 9.241989968358119e-01, -5.883193358049953e-01
8, 4.546981997414094e-03, 8.520458725685031e-03, 1.079973767217357e+00, 2.261755315309598e+02, 2.347135775817444e+02, 2.482578322042999e+05, 7.962750041922320e+04, 2.568503854667427e+02, 9.394070032665915e-01, -5.756254400993727e-01
9, 5.408165633266049e-03, 9.412030332708861e-03, 9.900136560925380e-01, 2.441380884867813e+02, 2.180760691570970e+02, 2.301580748053684e+05, 7.041492688520944e+04, 2.477729506562666e+02, 1.047853449238525e+00, -8.200310996189039e-01
